iter	Passed	Remaining
0	3	952
1	5	646
2	6	496
3	6	496
4	6	496
5	6	496
6	6	496
7	6	496
8	6	496
9	6	496
10	14	848
11	14	848
12	15	747
13	15	747
14	15	747
15	15	747
16	15	747
17	39	1535
18	39	1535
19	65	2146
20	65	2146
21	65	2146
22	65	2146
23	203	5747
24	204	5122
25	204	5122
26	204	5122
27	506	11249
28	508	10224
29	3052	55954
30	5581	94019
31	8129	126595
32	10644	153994
33	13098	176835
34	15629	197666
35	18176	216096
36	20703	232099
37	23226	246201
38	25766	258895
39	28322	270346
40	30829	280145
41	33361	289129
42	35802	296446
43	38283	303322
44	40793	309727
45	43353	315862
46	45864	321052
47	48397	325874
48	50904	330056
49	53471	334198
50	56020	337817
51	58561	341035
52	61126	344054
53	63687	346740
54	66249	349154
55	68829	351391
56	71294	352814
57	73766	354079
58	76325	355567
59	78812	356534
60	81315	357411
61	83848	358263
62	86388	358992
63	88924	359563
64	91415	359825
65	93965	360200
66	96436	360160
67	98974	360268
68	101509	360257
69	102756	355695
70	103989	351208
71	105258	346963
72	106516	342790
73	109020	342637
74	109626	336572
75	109923	329769
76	112435	329684
77	115018	329719
78	117182	328496
79	119766	328393
80	122299	328074
81	124827	327671
82	127379	327267
83	129875	326657
84	132401	326062
85	134866	325265
86	137371	324515
87	139911	323794
88	142436	322988
89	144995	322212
90	147515	321300
91	150046	320368
92	152550	319339
93	152849	313743
94	155336	312691
95	157877	311707
96	160425	310698
97	162982	309667
98	165520	308562
99	168059	307425
100	170593	306246
101	173108	305000
102	175563	303621
103	178054	302279
104	180496	300828
105	183018	299484
106	185511	298069
107	188014	296644
108	190523	295206
109	193004	293703
110	195537	292255
111	198071	290785
112	200562	289232
113	203065	287675
114	205614	286164
115	208134	284591
116	210610	282940
117	213141	281347
118	215656	279713
119	216895	276435
120	219402	274785
121	221925	273139
122	224438	271463
123	226980	269806
124	229532	268145
125	232091	266475
126	234649	264788
127	237163	263036
128	239717	261313
129	242258	259562
130	244803	257801
131	247346	256025
132	249872	254218
133	252436	252436
134	254975	250616
135	257506	248777
136	260050	246938
137	262622	245114
138	265170	243255
139	267656	241329
140	270192	239438
141	272615	237439
142	275091	235478
143	277628	233560
144	280158	231627
145	282641	229646
146	285166	227691
147	287663	225705
148	290205	223746
149	292747	221778
150	295301	219810
151	297837	217821
152	300385	215832
153	302911	213819
154	305435	211798
155	307872	209710
156	310357	207648
157	312928	205638
158	315447	203586
159	317980	201537
160	320514	199480
161	323036	197411
162	325439	195263
163	327935	193167
164	330458	191081
165	333024	189013
166	335547	186915
167	338065	184809
168	340579	182694
169	343084	180570
170	345662	178479
171	348126	176323
172	350669	174203
173	353168	172056
174	355659	169900
175	358161	167746
176	360674	165592
177	363152	163418
178	365681	161263
179	368192	159095
180	370707	156925
181	373223	154751
182	375768	152584
183	378247	150387
184	380727	148187
185	383279	146011
186	385832	143831
187	388369	141640
188	390875	139435
189	393400	137232
190	395944	135033
191	398507	132835
192	401024	130619
193	403541	128399
194	406040	126170
195	408530	123936
196	411026	121700
197	413521	119461
198	416008	117217
199	418538	114983
200	420998	112726
201	423589	110501
202	426152	108265
203	428602	105998
204	431128	103747
205	432370	101193
206	434907	98947
207	437372	96682
208	439869	94422
209	442390	92164
210	444888	89899
211	447382	87631
212	449918	85369
213	452389	83091
214	454942	80827
215	457507	78561
216	459898	76264
217	462364	73978
218	464737	71675
219	466993	69355
220	469173	67024
221	471606	64730
222	474103	62442
223	476559	60148
224	479114	57864
225	481623	55571
226	484204	53285
227	486675	50985
228	489219	48690
229	491765	46392
230	492347	43918
231	494827	41620
232	497286	39320
233	499724	37016
234	502163	34711
235	504545	32401
236	507122	30103
237	509618	27797
238	512111	25489
239	514602	23180
240	517151	20871
241	519755	18562
242	522223	16246
243	524717	13930
244	527299	11614
245	529914	9296
246	532456	6975
247	535009	4652
248	537545	2327
249	540065	0
